Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
2170,Veneklaas_W_Australia,WLAND,Patersonia occidentalis,H,E,B,C3,N,1.46,2.58,-0.064,0.515,,,1.66,1.19,2.49,0.70,0.28,86.9,,,,
2171,Veneklaas_W_Australia,WLAND,Persoonia saccata,S,E,N,C3,N,1.47,2.66,-0.148,0.517,,,1.65,1.28,2.59,0.72,0.39,82.1,,,,
2172,Veneklaas_W_Australia,WLAND,Petrophile linearis,S,E,B,C3,N,1.62,2.74,-0.206,0.530,,,1.61,1.34,2.73,0.79,0.53,75.2,,,,
2173,Veneklaas_W_Australia,WLAND,Regelia ciliata,S,E,B,C3,N,1.28,2.19,0.052,0.241,,,1.93,1.17,2.44,0.98,0.17,105.1,,,,
2174,Veneklaas_W_Australia,WLAND,Scholtzia involucrata,S,E,B,C3,N,1.37,2.25,0.115,0.364,,,1.90,1.17,2.52,1.00,0.25,74.8,,,,
2175,Veneklaas_W_Australia,WLAND,Stirlingia latifolia,S,E,B,C3,N,1.46,2.46,-0.033,0.430,,,1.79,1.22,2.66,0.86,0.32,65.3,,,,
2176,Veneklaas_W_Australia,WLAND,Verticordia nitens,S,E,N,C3,N,1.26,2.52,0.050,0.571,,,1.76,1.33,2.74,0.78,0.30,92.0,,,,
2177,Veneklaas_W_Australia,WLAND,Xanthorrhoea preissii,S,E,N,C3,N,1.38,2.87,-0.098,0.773,,,1.39,1.26,2.63,0.49,0.37,77.7,,,,
2178,Veneklaas_W_Australia,WLAND,Anigozanthos humilis,H,,B,C3,N,0.60,1.76,0.550,0.311,,,2.55,1.31,2.76,,,71.2,,,,
2179,Veneklaas_W_Australia,WLAND,Drosera sp,H,,B,C3,N,0.60,1.70,0.173,-0.131,,,1.99,0.68,,,,,,,,
2180,Veneklaas_W_Australia,WLAND,Gladiolus caryophyllaceus,H,,B,C3,N,0.60,1.94,0.279,0.220,,,2.28,1.21,2.58,,,82.9,,,,
2181,Veneklaas_W_Australia,WLAND,Pterostylis sp,H,,B,C3,N,0.60,1.57,0.363,-0.064,,,2.18,0.77,1.96,,,123.4,,,,
2182,Veneklaas_W_Australia,WLAND,Stylidium sp,H,,B,C3,N,0.60,2.05,0.262,0.313,,,1.98,0.96,2.29,,,89.1,,,,
2183,Villar_Canary_Is_lauriphyll,WLAND,Apollonias barbujana,T,E,,,N,,2.15,0.105,0.255,,,,,,,,,,,,
2184,Villar_Canary_Is_lauriphyll,WLAND,Arbutus canariensis,T,E,,,N,,2.16,0.093,0.250,,,,,,,,,,,,
2185,Villar_Canary_Is_lauriphyll,WLAND,Erica arborea,T,E,,,N,,2.12,0.093,0.212,,,,,,,,,,,,
2186,Villar_Canary_Is_lauriphyll,WLAND,Erica scoparia,S,E,,,N,,2.11,0.140,0.249,,,,,,,,,,,,
2187,Villar_Canary_Is_lauriphyll,WLAND,Heberdenia bahamensis,T,E,,,N,,2.05,-0.032,0.022,,,,,,,,,,,,
2188,Villar_Canary_Is_lauriphyll,WLAND,Ilex canariensis,T,E,,,N,,2.20,-0.058,0.140,,,,,,,,,,,,
2189,Villar_Canary_Is_lauriphyll,WLAND,Ilex platyphylla,T,E,,,N,,2.15,0.130,0.277,,,,,,,,,,,,
2190,Villar_Canary_Is_lauriphyll,WLAND,Laurus azorica,T,E,,,N,,2.11,0.099,0.210,,,,,,,,,,,,
2191,Villar_Canary_Is_lauriphyll,WLAND,Maytenus canariensis,S,E,,,N,,2.07,0.192,0.264,,,,,,,,,,,,
2192,Villar_Canary_Is_lauriphyll,WLAND,Myrica faya,T,E,,,Y,,1.98,0.317,0.294,,,,,,,,,,,,
2193,Villar_Canary_Is_lauriphyll,WLAND,Ocotea foetens,T,E,,,N,,2.04,0.322,0.363,,,,,,,,,,,,
2194,Villar_Canary_Is_lauriphyll,WLAND,Persea indica,T,E,,,N,,2.07,0.185,0.260,,,,,,,,,,,,
2195,Villar_Canary_Is_lauriphyll,WLAND,Picconia excelsa,T,E,,,N,,2.24,0.134,0.376,,,,,,,,,,,,
2196,Villar_Canary_Is_lauriphyll,WLAND,Prunus lusitanica,T,E,,,N,,2.11,0.241,0.353,,,,,,,,,,,,
2197,Villar_Canary_Is_lauriphyll,WLAND,Rhamnus glandulosa,T,E,,,N,,2.09,0.219,0.311,,,,,,,,,,,,
2198,Villar_Canary_Is_lauriphyll,WLAND,Salix canariensis,T,D,,,N,,1.78,0.500,0.281,,,,,,,,,,,,
2199,Villar_Canary_Is_lauriphyll,WLAND,Viburnum rigidum,S,E,,,N,,2.15,0.107,0.260,,,,,,,,,,,,
2200,Villar_Canary_Is_lauriphyll,WLAND,Visnea mocanera,T,E,,,N,,2.14,0.013,0.156,,,,,,,,,,,,
2201,Villar_Canary_Is_xeric,WLAND,Adenocarpus foliolosus,S,E,,,Y,,2.00,0.590,0.589,,,,,,,,,,,,
2202,Villar_Canary_Is_xeric,WLAND,Argyranthemum spp.,S,D,,,N,,2.14,0.054,0.196,,,,,,,,,,,,
2203,Villar_Canary_Is_xeric,WLAND,Bupleurum salicifolium,S,E,,,N,,2.15,0.335,0.482,,,,,,,,,,,,
2204,Villar_Canary_Is_xeric,WLAND,Chamaecytisus proliferus,S,E,,,Y,,2.33,0.109,0.443,,,,,,,,,,,,
2205,Villar_Canary_Is_xeric,WLAND,Cistus monspeliensis,S,E,B,C3,N,,2.18,0.485,0.666,,,,,,,,,,,,
2206,Villar_Canary_Is_xeric,WLAND,Cistus simphytifolius,S,E,,,N,,2.22,0.177,0.395,,,,,,,,,,,,
2207,Villar_Canary_Is_xeric,WLAND,Daphne gnidium,S,E,,,N,,2.20,0.210,0.412,,,,,,,,,,,,
2208,Villar_Canary_Is_xeric,WLAND,Dorycnium spectabile,S,D,,,Y,,1.91,0.564,0.469,,,,,,,,,,,,
2209,Villar_Canary_Is_xeric,WLAND,Hypericum reflexum,S,D,,,N,,2.04,0.007,0.047,,,,,,,,,,,,
2210,Villar_Canary_Is_xeric,WLAND,Jasminum odoratisimum,S,E,,,N,,2.19,0.306,0.496,,,,,,,,,,,,
2211,Villar_Canary_Is_xeric,WLAND,Juniperus phoenicea,T,E,,,N,,2.20,-0.075,0.124,,,,,,,,,,,,
2212,Villar_Canary_Is_xeric,WLAND,Olea europaea,T,E,B,C3,N,,2.29,0.250,0.544,,,,,,,,,,,,
2213,Villar_Canary_Is_xeric,WLAND,Pinus canariensis,T,E,,,N,,1.84,0.095,-0.067,,,,,,,,,,,,
2214,Villar_Canary_Is_xeric,WLAND,Rumex lunaria,S,D,,,N,,1.97,0.331,0.302,,,,,,,,,,,,
2215,Villar_California_forest,TEMP_FOR,Alnus rhombifolia,T,D,,,Y,,1.99,0.353,0.339,,,,,,,,,,,,
2216,Villar_California_forest,TEMP_FOR,Quercus lobata,T,D,,,N,,2.12,0.311,0.429,,,,,,,,,,,,
2217,Villar_California_forest,TEMP_FOR,Quercus keloggii,T,D,,,N,,2.07,0.198,0.269,,,,,,,,,,,,
2218,Villar_California_forest,TEMP_FOR,Quercus douglasii,T,D,,,N,,2.10,0.235,0.337,,,,,,,,,,,,
2219,Villar_California_forest,TEMP_FOR,Aesculus californica,T,D,,,N,,1.86,0.306,0.162,,,,,,,,,,,,
2220,Villar_California_forest,TEMP_FOR,Salix laevigata,T,D,,,N,,2.08,0.265,0.349,,,,,,,,,,,,
2221,Villar_California_forest,TEMP_FOR,Heteromeles arbutifolia,S,E,B,C3,N,,2.29,-0.165,0.120,,,,,,,,,,,,
2222,Villar_California_forest,TEMP_FOR,Rhamnus californica,S,E,B,C3,N,,1.97,0.127,0.098,,,,,,,,,,,,
2223,Villar_California_forest,TEMP_FOR,Quercus agrifolia,T,E,,C3,N,,2.25,0.037,0.292,,,,,,,,,,,,
2224,Villar_California_forest,TEMP_FOR,Arbutus menziesii,T,E,B,C3,N,,2.16,0.084,0.241,,,,,,,,,,,,
2225,Villar_California_chaparral,WLAND,Adenostoma fasciculatum,S,E,,C3,N,,2.28,-0.116,0.160,,,,,,,,,,,,
2226,Villar_California_chaparral,WLAND,Arctostaphylos crustacea,S,E,,,N,,2.39,0.011,0.402,,,,,,,,,,,,
2227,Villar_California_chaparral,WLAND,Ceanothus cuneatus,S,E,,C3,N,,2.44,0.122,0.566,,,,,,,,,,,,
2228,Villar_California_chaparral,WLAND,Diplacus aurantiacus,S,E,,,N,,2.08,0.248,0.328,,,,,,,,,,,,
2229,Villar_California_chaparral,WLAND,Eriodictyon californicum,S,E,,C3,N,,2.44,-0.013,0.423,,,,,,,,,,,,
2230,Villar_California_chaparral,WLAND,Lepechinia calycina,S,D,,C3,N,,2.05,0.468,0.521,,,,,,,,,,,,
2231,Villar_Tierra_del_Fuego,WLAND,Berberis ilicifolia,T,E,,,N,,2.31,0.069,0.382,,,,,,,,,,,,
2232,Villar_Tierra_del_Fuego,WLAND,Drimys winteri,T,E,B,C3,N,,2.16,-0.057,0.107,,,,,,,,,,,,
2233,Villar_Tierra_del_Fuego,WLAND,Embothrium coccineum,T,E,B,C3,N,,2.11,0.078,0.185,,,,,,,,,,,,
2234,Villar_Tierra_del_Fuego,WLAND,Maytenus magellanica,T,E,,,N,,2.14,0.000,0.135,,,,,,,,,,,,
2235,Villar_Tierra_del_Fuego,WLAND,Nothofagus antarctica,T,D,,,N,,1.96,0.383,0.348,,,,,,,,,,,,
2236,Villar_Tierra_del_Fuego,WLAND,Nothofagus betuloides,T,E,B,C3,N,,2.18,0.106,0.284,,,,,,,,,,,,
2237,Villar_Tierra_del_Fuego,WLAND,Nothofagus pumilio,T,D,,,N,,1.74,0.350,0.086,,,,,,,,,,,,
2238,Villar_Chihuahua,DESERT,Artemisia tridentata,S,E,B,C3,N,,2.12,0.203,0.321,,,,,,,,,,,,
2239,Villar_Chihuahua,DESERT,Chilopsis linearis,T,D,,,N,,2.37,0.189,0.555,,,,,,,,,,,,
2240,Villar_Chihuahua,DESERT,Chrysothamnus nauseosus,S,E,,,N,,2.09,0.286,0.374,,,,,,,,,,,,
2241,Villar_Chihuahua,DESERT,Flourensia cernua,S,D,,,N,,2.06,0.387,0.451,,,,,,,,,,,,
2242,Villar_Chihuahua,DESERT,Larrea tridentata,S,E,B,C3,N,,2.08,0.379,0.464,,,,,,,,,,,,
2243,Villar_Chihuahua,DESERT,Simmondsia chinensis,S,E,,,N,,2.29,0.235,0.529,,,,,,,,,,,,
2244,Villar_N_Carolina_forest,TEMP_FOR,Carya tomentosa,T,D,,,N,,1.55,0.214,-0.231,,,,,,,,,,,,
2245,Villar_N_Carolina_forest,TEMP_FOR,Chionanthus virginicus,T,D,,,N,,1.54,0.245,-0.216,,,,,,,,,,,,
2246,Villar_N_Carolina_forest,TEMP_FOR,Cornus florida,T,D,B,C3,N,,1.64,0.180,-0.185,,,,,,,,,,,,
2247,Villar_N_Carolina_forest,TEMP_FOR,Ilex opaca,T,E,,,N,,2.13,0.049,0.182,,,,,,,,,,,,
2248,Villar_N_Carolina_forest,TEMP_FOR,Liquidambar styraciflua,T,D,B,,N,,1.85,0.162,0.016,,,,,,,,,,,,
2249,Villar_N_Carolina_forest,TEMP_FOR,Liriodendron tulipifera,T,D,B,C3,N,,1.55,0.205,-0.244,,,,,,,,,,,,
2250,Villar_N_Carolina_forest,TEMP_FOR,Platanus occidentalis,T,D,B,C3,N,,1.63,0.302,-0.065,,,,,,,,,,,,
2251,Villar_N_Carolina_forest,TEMP_FOR,Populus heterophylla,T,D,,,N,,1.84,0.381,0.224,,,,,,,,,,,,
2252,Villar_Toronto,TEMP_FOR,Acer rubrum,T,D,B,C3,N,,1.65,0.298,-0.055,,,,,,,,,,,,
2253,Villar_Toronto,TEMP_FOR,Betula papyrifera,T,D,B,C3,N,,1.93,0.279,0.206,,,,,,,,,,,,
2254,Villar_Toronto,TEMP_FOR,Populus tremuloides,T,D,B,C3,N,,1.91,0.270,0.180,,,,,,,,,,,,
2255,Villar_Toronto,TEMP_FOR,Quercus rubra,T,D,B,C3,N,,1.92,0.313,0.231,,,,,,,,,,,,
2256,Villar_Devon_Is_Canada,TUNDRA,Salix arctica,S,D,,,N,,1.88,0.698,0.575,,,,,,,,,,,,
2257,Villar_Devon_Is_Canada,TUNDRA,Dryas integrifolia,S,E,,,N,,2.03,0.002,0.028,,,,,,,,,,,,
2258,Villar_Devon_Is_Canada,TUNDRA,Cassiope tetragona,S,E,B,C3,N,,2.04,0.243,0.287,,,,,,,,,,,,
2259,Villar_Andalucía_xeric,WLAND,Arctostaphylos uva-ursi,S,E,B,C3,N,,2.50,-0.155,0.348,,,,,,,,,,,,
2260,Villar_Andalucía_xeric,WLAND,Cistus albidus,S,E,B,C3,N,,2.27,0.053,0.321,,,,,,,,,,,,
2261,Villar_Andalucía_xeric,WLAND,Cistus ladanifer,S,E,,,N,,2.46,0.230,0.686,,,,,,,,,,,,
2262,Villar_Andalucía_xeric,WLAND,Cistus libanotis,S,E,,,N,,2.43,0.179,0.612,,,,,,,,,,,,
2263,Villar_Andalucía_xeric,WLAND,Cistus monspeliensis,S,E,B,C3,N,,2.38,0.114,0.492,,,,,,,,,,,,
2264,Villar_Andalucía_xeric,WLAND,Cistus salvifolius,S,E,B,C3,N,,1.98,0.220,0.199,,,,,,,,,,,,
2265,Villar_Andalucía_xeric,WLAND,Halimium commutatum,S,E,,,N,,2.47,-0.036,0.432,,,,,,,,,,,,
2266,Villar_Andalucía_xeric,WLAND,Halimium halimifolium,S,E,,,N,,2.22,0.134,0.350,,,,,,,,,,,,
2267,Villar_Andalucía_xeric,WLAND,Halimium umbellatum,S,E,,,N,,2.45,0.104,0.553,,,,,,,,,,,,
2268,Villar_Andalucía_xeric,WLAND,Juniperus communis,T,E,N,C3,N,,2.18,-0.143,0.034,,,,,,,,,,,,
2269,Villar_Andalucía_xeric,WLAND,Juniperus oophora,T,E,,,N,,,-0.060,,,,,,,,,,,,,
2270,Villar_Andalucía_xeric,WLAND,Lavandula stoechas,S,E,,,N,,2.20,0.196,0.396,,,,,,,,,,,,
2271,Villar_Andalucía_xeric,WLAND,Olea europaea,T,E,B,C3,N,,2.30,0.193,0.491,,,,,,,,,,,,
2272,Villar_Andalucía_xeric,WLAND,Phillyrea angustifolia,T,E,,,N,,2.37,0.199,0.569,,,,,,,,,,,,
2273,Villar_Andalucía_xeric,WLAND,Phlomis purpurea,S,E,,,N,,,0.407,,,,,,,,,,,,,
2274,Villar_Andalucía_xeric,WLAND,Pinus pinaster,T,E,,,N,,,-0.161,,,,,,,,,,,,,
2275,Villar_Andalucía_xeric,WLAND,Pistacia lentiscus,T,E,B,C3,N,,2.34,0.405,0.740,,,,,,,,,,,,
2276,Villar_Andalucía_xeric,WLAND,Quercus coccifera,S,E,B,C3,N,,2.22,0.155,0.374,,,,,,,,,,,,
2277,Villar_Andalucía_xeric,WLAND,Quercus rotundifolia,T,E,,,N,,2.23,0.248,0.475,,,,,,,,,,,,
2278,Villar_Andalucía_xeric,WLAND,Rosmarinus officinalis,S,E,,,N,,2.33,0.079,0.413,,,,,,,,,,,,
2279,Villar_Andalucía_mesic,WLAND,Arbutus unedo,T,E,B,C3,N,,2.19,0.004,0.193,,,,,,,,,,,,
2280,Villar_Andalucía_mesic,WLAND,Calluna vulgaris,S,E,,,N,,2.15,-0.208,-0.059,,,,,,,,,,,,
2281,Villar_Andalucía_mesic,WLAND,Ceratonia siliqua,T,E,B,C3,Y,,2.30,0.117,0.417,,,,,,,,,,,,
2282,Villar_Andalucía_mesic,WLAND,Cistus laurifolius,S,E,,,N,,2.47,0.161,0.631,,,,,,,,,,,,
2283,Villar_Andalucía_mesic,WLAND,Cistus populifolius,S,E,,,N,,2.31,0.124,0.438,,,,,,,,,,,,
2284,Villar_Andalucía_mesic,WLAND,Crataegus monogyna,T,D,B,C3,N,,1.97,0.097,0.070,,,,,,,,,,,,
2285,Villar_Andalucía_mesic,WLAND,Erica scoparia,S,E,,,N,,2.21,0.127,0.336,,,,,,,,,,,,
2286,Villar_Andalucía_mesic,WLAND,Ficus carica,T,D,B,,N,,2.06,0.279,0.339,,,,,,,,,,,,
2287,Villar_Andalucía_mesic,WLAND,Frangula alnus,T,D,,,N,,1.85,0.362,0.212,,,,,,,,,,,,
2288,Villar_Andalucía_mesic,WLAND,Fraxinus angustifolia,T,D,B,C3,N,,1.87,0.328,0.203,,,,,,,,,,,,
2289,Villar_Andalucía_mesic,WLAND,Fraxinus ornus,T,D,,,N,,2.19,0.305,0.500,,,,,,,,,,,,
2290,Villar_Andalucía_mesic,WLAND,Myrtus communis,S,E,B,C3,N,,1.98,0.176,0.159,,,,,,,,,,,,
2291,Villar_Andalucía_mesic,WLAND,Nerium oleander,S,E,B,C3,N,,2.26,0.143,0.402,,,,,,,,,,,,
2292,Villar_Andalucía_mesic,WLAND,Populus alba,T,D,B,C3,N,,1.93,0.220,0.151,,,,,,,,,,,,
2293,Villar_Andalucía_mesic,WLAND,Pyrus bourgeana,T,D,,,N,,1.93,0.248,0.176,,,,,,,,,,,,
2294,Villar_Andalucía_mesic,WLAND,Quercus faginea,T,D,,,N,,2.04,0.225,0.263,,,,,,,,,,,,
2295,Villar_Andalucía_mesic,WLAND,Quercus lusitanica,S,D,,,N,,2.17,0.158,0.328,,,,,,,,,,,,
2296,Villar_Andalucía_mesic,WLAND,Quercus pyrenaica,T,D,,,N,,1.89,0.286,0.175,,,,,,,,,,,,
2297,Villar_Andalucía_mesic,WLAND,Quercus suber,T,E,,,N,,2.15,0.279,0.429,,,,,,,,,,,,
2298,Villar_Andalucía_mesic,WLAND,Rubus ulmifolius,S,E,,,N,,1.92,0.310,0.234,,,,,,,,,,,,
2299,Villar_Andalucía_mesic,WLAND,Salix sp,V,E,,,N,,2.07,0.276,0.348,,,,,,,,,,,,
2300,Villar_Andalucía_mesic,WLAND,Smilax aspera,T,D,,,N,,2.03,0.338,0.367,,,,,,,,,,,,
2301,Villar_Andalucía_mesic,WLAND,Vitis vinifera,V,D,,,N,,1.80,0.386,0.187,,,,,,,,,,,,
2302,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Anthonotha gracilliflora,T,E,,,Y,,,0.336,,,,,,,,,,,,,
2303,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Anthonotha macrophylla,T,E,,,Y,,,0.401,,,,,,,,,,,,,
2304,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Barteria fistulosa,T,E,,,N,,,0.369,,,,,,,,,,,,,
2305,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Berlinia auriculata,T,E,,,Y,,,0.301,,,,,,,,,,,,,
2306,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Cissus producta,T,E,,,N,,,0.310,,,,,,,,,,,,,
2307,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Coula edulis,T,E,,,N,,,0.220,,,,,,,,,,,,,
2308,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Deidamia clematoides,T,E,,,N,,,0.444,,,,,,,,,,,,,
2309,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Dichostemma caloneura,T,E,,,N,,,0.554,,,,,,,,,,,,,
2310,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Dichostemma glaucens,T,E,,,N,,,0.346,,,,,,,,,,,,,
2311,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Diospyros dendo,T,E,,,N,,,0.140,,,,,,,,,,,,,
2312,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Diospyros hoyleana,T,E,,,N,,,0.246,,,,,,,,,,,,,
2313,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Garcinia mannii,T,E,,,N,,,0.121,,,,,,,,,,,,,
2314,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Garcinia ovalifolia,T,E,,,N,,,0.182,,,,,,,,,,,,,
2315,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Leptaulus daphnoides,T,E,,,N,,,0.217,,,,,,,,,,,,,
2316,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Librevillea klainei,T,E,,,Y,,,0.190,,,,,,,,,,,,,
2317,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Lophira alata,T,D,,,N,,,0.241,,,,,,,,,,,,,
2318,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Mammea africana,T,E,,,N,,,0.140,,,,,,,,,,,,,
2319,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Protomegabaria tapfiana,T,E,,,N,,,0.228,,,,,,,,,,,,,
2320,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Rauvolfia vomitoria,T,E,,,N,,,0.417,,,,,,,,,,,,,
2321,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Trichoscypha patens,T,E,,,N,,,0.207,,,,,,,,,,,,,
2322,"Villar_Douala-Edea Forest, Cameroon",TROP_RF,Uapaca staudtii,T,E,,,N,,,0.225,,,,,,,,,,,,,
2323,"Villar_Kibale Forest, Uganda",TROP_RF,Bosqueia phoberos,T,E,,,N,,,0.382,,,,,,,,,,,,,
2324,"Villar_Kibale Forest, Uganda",TROP_RF,Cassipourea ruwenzoriensis,T,E,,,N,,,0.462,,,,,,,,,,,,,
2325,"Villar_Kibale Forest, Uganda",TROP_RF,Celtis africana,T,D,B,C3,N,,,0.398,,,,,,,,,,,,,
2326,"Villar_Kibale Forest, Uganda",TROP_RF,Celtis durandii,T,D,,,N,,,0.476,,,,,,,,,,,,,
2327,"Villar_Kibale Forest, Uganda",TROP_RF,Chaetachme aristata,T,D,B,C3,N,,,0.464,,,,,,,,,,,,,
2328,"Villar_Kibale Forest, Uganda",TROP_RF,Dombeya mukole,T,E,,,N,,,0.537,,,,,,,,,,,,,
2329,"Villar_Kibale Forest, Uganda",TROP_RF,Erythrina excelsa,T,E,,,Y,,,0.487,,,,,,,,,,,,,
2330,"Villar_Kibale Forest, Uganda",TROP_RF,Funtumia latifolia,T,E,,,N,,,0.398,,,,,,,,,,,,,
2331,"Villar_Kibale Forest, Uganda",TROP_RF,Markhamia platycalyx,T,E,,,N,,,0.455,,,,,,,,,,,,,
2332,"Villar_Kibale Forest, Uganda",TROP_RF,Milletia dura,T,E,,,Y,,,0.631,,,,,,,,,,,,,
2333,"Villar_Kibale Forest, Uganda",TROP_RF,Pancovia turbinata,T,E,,,N,,,0.352,,,,,,,,,,,,,
2334,"Villar_Kibale Forest, Uganda",TROP_RF,Parinari excelsa,T,E,,,N,,,0.270,,,,,,,,,,,,,
2335,"Villar_Kibale Forest, Uganda",TROP_RF,Strombosia scheffleri,T,E,,,N,,,0.456,,,,,,,,,,,,,
2336,"Villar_Kibale Forest, Uganda",TROP_RF,Teclea nobilis,T,E,,,N,,,0.458,,,,,,,,,,,,,
2337,Williams et al_LosTuxtlas2,TROP_RF,Piper aequale,S,E,B,C3,N,1.37,1.56,0.445,0.007,,,1.86,0.41,,,,,,,,
2338,Williams et al_LosTuxtlas2,TROP_RF,Piper amalago,S,E,B,C3,N,1.44,1.56,0.377,-0.063,,,1.87,0.43,,,,,,,,
2339,Williams et al_LosTuxtlas2,TROP_RF,Piper auritum,S,E,B,C3,N,0.62,1.45,0.574,0.023,,,2.54,0.98,,,,,,,,
2340,Williams et al_LosTuxtlas2,TROP_RF,Piper hispidum,S,E,B,C3,N,1.13,1.48,0.452,-0.067,,,2.12,0.54,,,,,,,,
2341,Williams et al_LosTuxtlas2,TROP_RF,Piper lapathifolium,S,E,B,C3,N,1.23,1.50,0.436,-0.068,,,1.99,0.48,,,,,,,,
2342,Williams et al_LosTuxtlas2,TROP_RF,Piper peltatum,S,E,B,C3,N,0.41,1.36,0.371,-0.267,,,,,,,,,,,,
2343,Williams et al_LosTuxtlas2,TROP_RF,Piper umbellatum,S,E,B,C3,N,0.55,1.52,0.441,-0.038,,,1.94,0.79,,,,,,,,
2344,Williams_Linera_Mexico,TROP_FOR,Carpinus caroliniana,T,D,B,C3,N,0.89,1.64,0.362,0.006,,,,,,,,,,,,
2345,Williams_Linera_Mexico,TROP_FOR,Clethra mexicana,T,,B,,N,1.05,1.99,0.146,0.135,,,,,,,,,,,,
2346,Williams_Linera_Mexico,TROP_FOR,Liquidambar styraciflua,T,D,B,,N,0.86,1.68,0.000,-0.324,,,,,,,,,,,,
2347,Williams_Linera_Mexico,TROP_FOR,Quercus xalapensis,T,D,B,,N,0.98,1.84,0.255,0.100,,,,,,,,,,,,
2348,Williams_Linera_Mexico,TROP_FOR,Cinnamomum barbeyanum,T,E,B,,N,1.36,1.90,0.204,0.107,,,,,,,,,,,,
2349,Williams_Linera_Mexico,TROP_FOR,Hedyosnium maxicanum,T,E,B,,N,0.85,1.67,0.322,-0.011,,,,,,,,,,,,
2350,Williams_Linera_Mexico,TROP_FOR,Magnolia schiedeana,T,E,B,,N,1.56,1.99,0.322,0.314,,,,,,,,,,,,
2351,Williams_Linera_Mexico,TROP_FOR,Oreopanax xalapensis,T,E,B,,N,1.28,2.04,0.279,0.320,,,,,,,,,,,,
2352,Williams_Linera_Mexico,TROP_FOR,Turpinia insignis,T,E,B,,N,1.17,1.89,0.190,0.076,,,,,,,,,,,,
2353,Wright_Oz_syd_hiP,TEMP_FOR,Acacia floribunda,T,E,B,C3,Y,1.13,2.10,0.363,0.462,-1.244,-1.145,2.03,1.04,2.28,1.03,0.10,114.6,,,,
2354,Wright_Oz_syd_hiP,TEMP_FOR,Allocasuarina sp,T,E,B,C3,Y,,2.26,0.121,0.287,-1.337,-1.171,1.80,0.98,2.20,0.89,0.08,113.5,,,,
2355,Wright_Oz_syd_hiP,TEMP_FOR,Astrotricha floccosa,S,E,B,C3,N,0.79,1.92,0.201,0.116,-1.149,-1.233,2.18,1.07,2.26,0.95,-0.15,117.1,,,,
2356,Wright_Oz_syd_hiP,TEMP_FOR,Correa reflexa,S,E,B,C3,N,1.07,1.85,0.099,-0.049,-1.328,-1.477,1.85,0.65,2.02,0.66,-0.50,83.1,,,,
2357,Wright_Oz_syd_hiP,TEMP_FOR,Dodonaea triquetra,S,E,B,C3,N,0.91,1.98,0.279,0.255,-1.102,-1.126,2.32,1.32,2.39,1.00,0.01,164.1,,,,
2358,Wright_Oz_syd_hiP,TEMP_FOR,Eucalyptus paniculata,T,E,B,C3,N,1.12,2.08,0.035,0.113,-1.319,-1.241,1.88,0.96,2.12,0.79,-0.10,145.9,,,,
2359,Wright_Oz_syd_hiP,TEMP_FOR,Eucalyptus umbra,T,E,B,C3,N,1.39,2.31,-0.040,0.273,-1.409,-1.095,1.61,0.93,2.07,0.80,0.05,150.7,,,,
2360,Wright_Oz_syd_hiP,TEMP_FOR,Gompholobium latifolium,S,E,B,C3,Y,1.42,1.98,0.233,0.211,-1.509,-1.531,,,,,,,,,,
2361,Wright_Oz_syd_hiP,TEMP_FOR,Lasiopetalum ferrugineum,S,E,B,C3,N,1.38,2.08,0.064,0.147,-1.523,-1.439,1.88,0.91,2.15,0.63,-0.32,114.4,,,,
2362,Wright_Oz_syd_hiP,TEMP_FOR,Leptospermum polygalifolium,S,E,B,C3,N,0.87,1.96,0.116,0.078,-1.347,-1.384,2.05,0.93,2.31,1.15,0.11,80.5,,,,
2363,Wright_Oz_syd_hiP,TEMP_FOR,Lomatia silaifolia,S,E,B,C3,N,1.44,2.15,-0.208,-0.063,-1.495,-1.349,1.67,0.77,2.04,0.91,-0.09,101.3,,,,
2364,Wright_Oz_syd_hiP,TEMP_FOR,Macrozamia communis,S,E,B,C3,Y,,2.43,0.129,0.560,-1.276,-0.844,1.41,0.86,1.92,0.60,0.08,155.4,,,,
